Puerto Rico,"Population density (people per sq. km of land area)","369.959188275085"
Qatar,"Population density (people per sq. km of land area)","240.242384682332"
Romania,"Population density (people per sq. km of land area)","83.7328320584145"
Russian Federation,"Population density (people per sq. km of land area)","8.79735498907911"
Rwanda,"Population density (people per sq. km of land area)","532.888609647345"
Samoa,"Population density (people per sq. km of land area)","77.3125899280575"
San Marino,"Population density (people per sq. km of land area)","566.783333333333"
Sao Tome and Principe,"Population density (people per sq. km of land area)","227.751041666667"
Saudi Arabia,"Population density (people per sq. km of land area)","16.7452548972177"
Senegal,"Population density (people per sq. km of land area)","85.3691372773074"
Serbia,"Population density (people per sq. km of land area)","78.8832151840842"
Seychelles,"Population density (people per sq. km of land area)","214.047826086957"
Sierra Leone,"Population density (people per sq. km of land area)","114.075505680244"
Singapore,"Population density (people per sq. km of land area)","7918.95125348189"
Sint Maarten (Dutch part),"Population density (people per sq. km of land area)","1244.41176470588"
Slovak Republic,"Population density (people per sq. km of land area)","113.536335274542"
Slovenia,"Population density (people per sq. km of land area)","104.408881428657"
Solomon Islands,"Population density (people per sq. km of land area)","24.6942122186495"
Somalia,"Population density (people per sq. km of land area)","26.3605317690567"
South Africa,"Population density (people per sq. km of land area)","48.4728478513548"
South Sudan,"Population density (people per sq. km of land area)","16.7838637190828"
Spain,"Population density (people per sq. km of land area)","94.815383748924"
Sri Lanka,"Population density (people per sq. km of land area)","354.332363401229"
St. Kitts and Nevis,"Population density (people per sq. km of land area)","183.238461538462"
St. Lucia,"Population density (people per sq. km of land area)","293.831147540984"
St. Martin (French part),"Population density (people per sq. km of land area)","651.06"
St. Vincent and the Grenadines,"Population density (people per sq. km of land area)","268.28717948718"
Sudan,"Population density (people per sq. km of land area)","23.7904100642398"
Suriname,"Population density (people per sq. km of land area)","3.89144230769231"
Sweden,"Population density (people per sq. km of land area)","25.4207233696844"
Switzerland,"Population density (people per sq. km of land area)","218.599059672745"
Syrian Arab Republic,"Population density (people per sq. km of land area)","113.122011653869"
Tajikistan,"Population density (people per sq. km of land area)","68.7600475538583"
Tanzania,"Population density (people per sq. km of land area)","69.6596500338677"
Thailand,"Population density (people per sq. km of land area)","139.90421421441"
Timor-Leste,"Population density (people per sq. km of land area)","87.4240080699395"
Togo,"Population density (people per sq. km of land area)","155.223018937305"
Tonga,"Population density (people per sq. km of land area)","146.186111111111"
Trinidad and Tobago,"Population density (people per sq. km of land area)","295.935087719298"
Tunisia,"Population density (people per sq. km of land area)","78.2809152935118"
Turkiye,"Population density (people per sq. km of land area)","109.31931967309"
Turkmenistan,"Population density (people per sq. km of land area)","13.3007852233311"
Turks and Caicos Islands,"Population density (people per sq. km of land area)","46.6063157894737"
Tuvalu,"Population density (people per sq. km of land area)","368.966666666667"
Uganda,"Population density (people per sq. km of land area)","221.447292040694"
Ukraine,"Population density (people per sq. km of land area)","76.1685346910597"
United Arab Emirates,"Population density (people per sq. km of land area)","130.770050689946"
United Kingdom,"Population density (people per sq. km of land area)","277.274418220146"
United States,"Population density (people per sq. km of land area)","36.2398446775156"
Uruguay,"Population density (people per sq. km of land area)","19.5925379956576"
Uzbekistan,"Population density (people per sq. km of land area)","77.6853511857483"
Vanuatu,"Population density (people per sq. km of land area)","25.5689089417555"
"Venezuela, RB","Population density (people per sq. km of land area)","32.3002698259736"
Vietnam,"Population density (people per sq. km of land area)","308.359102061392"
Virgin Islands (U.S.),"Population density (people per sq. km of land area)","303.685714285714"
West Bank and Gaza,"Population density (people per sq. km of land area)","797.885215946844"
"Yemen, Rep.","Population density (people per sq. km of land area)","61.14750080497"
Zambia,"Population density (people per sq. km of land area)","25.4613527219898"
Zimbabwe,"Population density (people per sq. km of land area)","40.5057929430012"
Africa Eastern and Southern,"Population density (people per sq. km of land area)","46.1506920934124"
Africa Western and Central,"Population density (people per sq. km of land area)","51.5366792865574"
Arab World,"Population density (people per sq. km of land area)","34.2907992634507"
Caribbean small states,"Population density (people per sq. km of land area)","18.3889539335556"
Central Europe and the Baltics,"Population density (people per sq. km of land area)","92.4702878927427"
Early-demographic dividend,"Population density (people per sq. km of land area)","101.322968635572"
East Asia & Pacific,"Population density (people per sq. km of land area)","96.4640963464016"
East Asia & Pacific (excluding high income),"Population density (people per sq. km of land area)","132.08480308894"
East Asia & Pacific (IDA & IBRD countries),"Population density (people per sq. km of land area)","131.457659668976"
Euro area,"Population density (people per sq. km of land area)","127.953871829812"
Europe & Central Asia,"Population density (people per sq. km of land area)","33.6362165723048"
Europe & Central Asia (excluding high income),"Population density (people per sq. km of land area)","17.8961544606378"
Europe & Central Asia (IDA & IBRD countries),"Population density (people per sq. km of land area)","20.0978636869976"
European Union,"Population density (people per sq. km of land area)","112.022522067025"
Fragile and conflict affected situations,"Population density (people per sq. km of land area)","47.8873994860873"
Heavily indebted poor countries (HIPC),"Population density (people per sq. km of land area)","43.2109696986377"
High income,"Population density (people per sq. km of land area)","35.2068999068615"
IBRD only,"Population density (people per sq. km of land area)","68.8042079663085"
IDA & IBRD total,"Population density (people per sq. km of land area)","68.9743707333503"
IDA blend,"Population density (people per sq. km of land area)","132.882011896128"
IDA only,"Population density (people per sq. km of land area)","55.9856013258115"
IDA total,"Population density (people per sq. km of land area)","69.4575745648495"
Late-demographic dividend,"Population density (people per sq. km of land area)","52.0018004617408"
Latin America & Caribbean,"Population density (people per sq. km of land area)","32.4634770332622"
Latin America & Caribbean (excluding high income),"Population density (people per sq. km of land area)","32.4650944550981"
Latin America & the Caribbean (IDA & IBRD countries),"Population density (people per sq. km of land area)","31.8719098809088"
Least developed countries: UN classification,"Population density (people per sq. km of land area)","52.6393001286885"
Low & middle income,"Population density (people per sq. km of land area)","69.8078129727238"
Low income,"Population density (people per sq. km of land area)","44.4367755098152"
Lower middle income,"Population density (people per sq. km of land area)","135.144026241388"
Middle East & North Africa,"Population density (people per sq. km of land area)","42.788805189359"
Middle East & North Africa (excluding high income),"Population density (people per sq. km of land area)","47.6916747646715"
Middle East & North Africa (IDA & IBRD countries),"Population density (people per sq. km of land area)","47.1682934045582"
Middle income,"Population density (people per sq. km of land area)","74.9180487408642"
North America,"Population density (people per sq. km of land area)","20.4052819004007"
Not classified,"Population density (people per sq. km of land area)",".."
OECD members,"Population density (people per sq. km of land area)","38.5890022479051"
Other small states,"Population density (people per sq. km of land area)","15.9390293005494"
Pacific island small states,"Population density (people per sq. km of land area)","40.0127669524552"
Post-demographic dividend,"Population density (people per sq. km of land area)","35.6495077532428"
Pre-demographic dividend,"Population density (people per sq. km of land area)","48.4626990177166"
Small states,"Population density (people per sq. km of land area)","16.9532725790881"
South Asia,"Population density (people per sq. km of land area)","394.650788659405"
South Asia (IDA & IBRD),"Population density (people per sq. km of land area)","394.650788659405"
Sub-Saharan Africa,"Population density (people per sq. km of land area)","48.1899800857256"
Sub-Saharan Africa (excluding high income),"Population density (people per sq. km of land area)","48.1867865647342"
Sub-Saharan Africa (IDA & IBRD countries),"Population density (people per sq. km of land area)","48.1899800857256"
Upper middle income,"Population density (people per sq. km of land area)","46.8366304567079"
World,"Population density (people per sq. km of land area)","60.1707336694777"
,"",""
,"",""
,"",""
Data from database: World Development Indicators,"",""
Last Updated: 03/30/2023,"",""
